STA,NET,DIST,STA_LAT,STA_LON,EQ_LAT,EQ_LON,EQ_DEP,EQ_MAG,ORIG_TIME,AZ,BAZ,PHASE,DT,PREM,AMP,POLARITY,POLARITY_COFLAG,ONSET,ENDSET,SNR_AVE,SNR_PEAK_TROUGH,SNR_PEAK,MISFIT_SIG,MISFIT_PRE,MISFIT_POST,MISFIT_PRE2T,MISFIT_POST2T,TSTAR_FACTOR,STRETCH_FACTOR,CCC_SEW,CCC_GEW,RECORD_GAU,EW_GAU,GAU_MISFIT,WEIGHT,TRAFFIC_IN_NOISE,ONE_PERIOD,PERIOD_FLAG
PAS,CI,       66.16600,       34.14800,     -118.17100,      -13.33900,      -69.44600,      596.00000,        6.90000,19940110155350.76172,      317.01800,      126.85200,SSSm,       -1.20000,     4393.97000,        0.00000,       -0.52000,0,        0.70000,       13.30000,        4.04000,        0.00000,        0.00000,        0.09000,        0.12000,        0.48000,        0.18000,        0.19000,        6.08000,        1.29000,        0.95000,        0.99000,       29.21000,       20.70000,        0.28000,        0.16000,0,       32.80000,0
ATD,G,      114.00800,       11.53000,       42.84700,      -13.33900,      -69.44600,      596.00000,        6.90000,19940110155350.76172,       83.19600,      260.46000,SSSm,        6.20000,     3955.33000,        0.00000,        0.68000,0,        7.90000,       19.50000,        3.15000,        0.00000,        0.00000,        0.10000,        0.22000,        0.73000,        0.11000,        0.37000,        3.69000,        1.22000,        0.95000,        0.96000,       26.61000,       20.70000,        0.16000,        0.13000,1,       30.00000,0
GSC,CI,       65.97700,       35.30200,     -116.80600,      -13.33900,      -69.44600,      596.00000,        6.90000,19940110155350.76172,      318.76600,      128.33500,SSSm,       -1.10000,     4395.53000,        0.00000,       -0.51000,0,        0.60000,       12.40000,        1.48000,        0.00000,        0.00000,        0.10000,        0.15000,        0.69000,        0.41000,        0.20000,        4.17000,        1.18000,        0.96000,        0.97000,       27.11000,       20.70000,        0.18000,        0.05000,0,       30.20000,0
MIN,BK,       72.04800,       40.34600,     -121.60700,      -13.33900,      -69.44600,      596.00000,        6.90000,19940110155350.76172,      320.59600,      126.05600,ScSScSScS,       -0.30000,     2829.09000,        0.00000,       -0.62000,0,        1.30000,       11.70000,        2.55000,        0.00000,        0.00000,        0.06000,        0.19000,        0.32000,        0.22000,        0.69000,        0.99000,        1.04000,        0.98000,        0.98000,       23.99000,       20.70000,        0.05000,        0.28000,0,       27.00000,0
SYO,PS,       84.28300,      -69.00700,       39.58500,      -13.33900,      -69.44600,      596.00000,        6.90000,19940110155350.76172,      159.97400,      247.66500,ScSScSScS,       -7.90000,     2880.36000,        0.00000,        0.48000,0,       -6.40000,        3.60000,        1.94000,        0.00000,        0.00000,        0.03000,        0.11000,        0.15000,        0.36000,        0.03000,        0.04000,        1.01000,        1.00000,        1.00000,       23.16000,       20.70000,        0.01000,        0.06000,0,       26.00000,0
SYO,PS,       84.28300,      -69.00700,       39.58500,      -13.33900,      -69.44600,      596.00000,        6.90000,19940110155350.76172,      159.97400,      247.66500,ScSScSScSScS,       -7.50000,     3768.24000,        0.00000,        0.48000,0,       -5.90000,        5.30000,        1.74000,        0.00000,        0.00000,        0.03000,        0.20000,        0.48000,        0.36000,        0.25000,        2.74000,        1.14000,        0.99000,        0.99000,       25.64000,       20.70000,        0.12000,        0.10000,0,       28.80000,0
TRIB,BL,       54.32300,      -20.67200,      -51.32600,       15.99400,      -92.42800,      164.20000,        6.90000,19940314205137.00000,      130.70700,      308.83500,SSSm,        0.80000,     4571.86000,        0.00000,       -0.94000,0,        1.90000,       17.90000,        7.27000,        0.00000,        0.00000,        0.11000,        0.35000,        0.22000,        0.07000,        0.37000,        9.45000,        1.62000,        0.89000,        0.99000,       36.95000,       24.60000,        0.53000,        0.12000,0,       36.80000,0
PPDB,BL,       55.18700,      -22.03300,      -51.31400,       15.99400,      -92.42800,      164.20000,        6.90000,19940314205137.00000,      131.98200,      309.56600,SSSm,       -8.30000,     4564.53000,        0.00000,       -0.95000,0,       -5.10000,       16.50000,        5.15000,        0.00000,        0.00000,        0.09000,        0.29000,        0.30000,        0.21000,       -0.00000,       18.13000,        2.69000,        0.73000,        0.95000,       49.87000,       24.60000,        1.06000,        0.23000,0,       36.80000,0
CACB,BL,       58.33700,      -21.68000,      -46.73300,       15.99400,      -92.42800,      164.20000,        6.90000,19940314205137.00000,      128.53500,      305.97900,SSSm,       -6.40000,     4538.01000,        0.00000,       -0.93000,0,       -3.20000,       18.40000,        1.35000,        0.00000,        0.00000,        0.16000,        0.25000,        0.25000,        0.46000,       -0.00000,       18.13000,        2.58000,        0.77000,        0.97000,       49.87000,       24.60000,        1.06000,        0.05000,0,       36.80000,0
FRMB,BL,       58.48500,      -20.48800,      -45.63900,       15.99400,      -92.42800,      164.20000,        6.90000,19940314205137.00000,      126.70500,      304.62900,SSSm,       -7.70000,     4536.83000,        0.00000,       -0.92000,0,       -4.50000,       17.10000,        2.99000,        0.00000,        0.00000,        0.20000,        0.22000,        0.22000,        0.38000,       -0.00000,       18.13000,        2.54000,        0.70000,        0.98000,       49.87000,       24.60000,        1.06000,        0.05000,0,       36.80000,0
CDCB,BL,       59.05900,      -20.23600,      -44.71800,       15.99400,      -92.42800,      164.20000,        6.90000,19940314205137.00000,      125.89500,      303.89100,SSSm,       -4.30000,     4531.99000,        0.00000,       -0.91000,0,       -4.00000,       15.60000,        4.42000,        0.00000,        0.00000,        0.14000,        0.19000,        0.30000,        0.18000,        0.41000,       15.21000,        2.14000,        0.82000,        0.96000,       45.35000,       24.60000,        0.87000,        0.11000,0,       36.80000,0
TRIB,BL,       54.32300,      -20.67200,      -51.32600,       15.99400,      -92.42800,      164.20000,        6.90000,19940314205137.00000,      130.70700,      308.83500,ScSScSScS,       -6.30000,     2848.79000,        0.00000,       -0.89000,0,       -4.80000,        9.00000,        2.69000,        0.00000,        0.00000,        0.04000,        0.29000,        0.20000,        0.16000,        0.39000,        5.79000,        1.36000,        0.95000,        0.99000,       31.90000,       24.60000,        0.32000,        0.35000,0,       35.60000,0
RIFB,BL,       56.81800,      -20.07400,      -47.50200,       15.99400,      -92.42800,      164.20000,        6.90000,19940314205137.00000,      127.49900,      305.69600,ScSScSScS,       -3.20000,     2856.64000,        0.00000,       -0.88000,0,       -1.70000,       12.30000,        2.73000,        0.00000,        0.00000,        0.02000,        0.16000,        0.26000,        0.15000,        0.57000,        6.30000,        1.38000,        0.95000,        1.00000,       32.60000,       24.60000,        0.35000,        0.62000,0,       35.80000,0
FRMB,BL,       58.48500,      -20.48800,      -45.63900,       15.99400,      -92.42800,      164.20000,        6.90000,19940314205137.00000,      126.70500,      304.62900,ScSScSScS,       -6.60000,     2862.08000,        0.00000,       -0.87000,0,       -5.10000,        8.50000,        3.54000,        0.00000,        0.00000,        0.03000,        0.14000,        0.22000,        0.23000,        0.80000,        5.39000,        1.33000,        0.96000,        1.00000,       31.38000,       24.60000,        0.30000,        0.64000,0,       34.80000,0
BFO,GR,       85.25200,       48.33100,        8.33000,       15.99400,      -92.42800,      164.20000,        6.90000,19940314205137.00000,       41.13300,      288.46700,ScSScSScS,      -13.20000,     2966.97000,        0.00000,        0.23000,0,      -11.60000,       -0.60000,        2.83000,        0.00000,        0.00000,        0.09000,        0.10000,        0.50000,        0.13000,        0.21000,        0.63000,        1.05000,        0.98000,        0.98000,       25.27000,       24.60000,        0.04000,        0.15000,0,       28.00000,0
GRB1,GR,       86.96100,       49.39100,       11.65200,       15.99400,      -92.42800,      164.20000,        6.90000,19940314205137.00000,       39.39200,      290.84400,ScSScSScS,        2.10000,     2974.81000,        0.00000,        0.26000,0,        3.90000,       16.10000,        2.75000,        0.00000,        0.00000,        0.03000,        0.02000,        0.30000,        0.12000,        0.32000,        2.94000,        1.18000,        0.96000,        1.00000,       28.20000,       24.60000,        0.17000,        0.63000,0,       31.00000,0
OGS,PS,      111.91900,       27.05700,      142.20300,       15.99400,      -92.42800,      164.20000,        6.90000,19940314205137.00000,      308.37000,       57.77200,ScSScSScS,      -11.30000,     3103.62000,        0.00000,        0.71000,0,       -9.70000,        3.70000,        2.96000,        0.00000,        0.00000,        0.11000,        0.15000,        0.14000,        0.17000,        0.23000,        5.09000,        1.35000,        0.95000,        0.96000,       30.97000,       24.60000,        0.28000,        0.20000,0,       34.60000,0
FURB,BL,       58.10300,      -20.67800,      -46.27800,       15.99400,      -92.42800,      164.20000,        6.90000,19940314205137.00000,      127.29000,      305.16000,ScSScSScS,       -2.30000,     2860.82000,        0.00000,       -0.87000,0,       -0.70000,       12.50000,        2.52000,        0.00000,        0.00000,        0.04000,        0.36000,        0.26000,        0.42000,        0.32000,        4.78000,        1.32000,        0.95000,        0.98000,       30.56000,       24.60000,        0.26000,        0.05000,0,       33.60000,0
CDCB,BL,       59.05900,      -20.23600,      -44.71800,       15.99400,      -92.42800,      164.20000,        6.90000,19940314205137.00000,      125.89500,      303.89100,ScSScSScS,       -2.70000,     2863.97000,        0.00000,       -0.87000,0,       -0.70000,       12.10000,        4.27000,        0.00000,        0.00000,        0.03000,        0.31000,        0.58000,        0.20000,        0.70000,        4.14000,        1.25000,        0.96000,        0.99000,       29.73000,       24.60000,        0.23000,        0.35000,0,       33.00000,0
CACB,BL,       58.33700,      -21.68000,      -46.73300,       15.99400,      -92.42800,      164.20000,        6.90000,19940314205137.00000,      128.53500,      305.97900,ScSScSScSScS,       -0.80000,     3773.26000,        0.00000,       -0.87000,0,        0.30000,       15.90000,        4.66000,        0.00000,        0.00000,        0.11000,        0.49000,        0.60000,        0.23000,        0.99000,        8.70000,        1.57000,        0.90000,        0.96000,       35.91000,       24.60000,        0.48000,        0.05000,0,       36.80000,0
FRMB,BL,       58.48500,      -20.48800,      -45.63900,       15.99400,      -92.42800,      164.20000,        6.90000,19940314205137.00000,      126.70500,      304.62900,ScSScSScSScS,       -5.00000,     3773.61000,        0.00000,       -0.86000,0,       -4.10000,       12.90000,        3.46000,        0.00000,        0.00000,        0.13000,        0.62000,        0.81000,        0.15000,        1.29000,       11.25000,        1.76000,        0.88000,        0.98000,       39.50000,       24.60000,        0.63000,        0.00000,0,       36.80000,0
A415,XZ,       84.81000,       44.41700,     -121.28500,      -22.05700,     -179.53300,      579.80000,        6.50000,19940331224051.87109,       37.71800,      232.40300,SSSm,        4.40000,     4234.78000,        0.00000,        0.91000,0,        4.50000,       24.90000,        2.67000,        0.00000,        0.00000,        0.16000,        0.19000,        0.44000,       -0.00000,       -0.00000,       20.90000,        3.16000,        0.76000,        0.94000,       47.17000,       20.40000,        1.38000,        0.05000,0,       36.80000,0
A425,XZ,       84.86500,       44.41100,     -121.18200,      -22.05700,     -179.53300,      579.80000,        6.50000,19940331224051.87109,       37.76700,      232.47800,SSSm,        6.40000,     4234.29000,        0.00000,        0.91000,0,        8.10000,       20.10000,        1.70000,        0.00000,        0.00000,        0.11000,        0.37000,        0.43000,        0.24000,        1.27000,        6.42000,        1.38000,        0.92000,        0.96000,       27.52000,       20.40000,        0.39000,        0.05000,0,       31.20000,0
A435,XZ,       84.92700,       44.41800,     -121.08000,      -22.05700,     -179.53300,      579.80000,        6.50000,19940331224051.87109,       37.80700,      232.55300,SSSm,        3.40000,     4235.77000,        0.00000,        0.91000,0,        4.40000,       20.60000,        5.85000,        0.00000,        0.00000,        0.07000,        0.08000,        0.54000,        0.07000,        0.66000,       12.39000,        2.15000,        0.79000,        0.99000,       37.46000,       20.40000,        0.89000,        0.71000,0,       36.80000,0
A505,XZ,       85.33600,       44.42400,     -120.37000,      -22.05700,     -179.53300,      579.80000,        6.50000,19940331224051.87109,       38.11000,      233.07500,SSSm,        5.10000,     4230.10000,        0.00000,        0.90000,0,        5.40000,       25.40000,        4.97000,        0.00000,        0.00000,        0.25000,        0.13000,        0.55000,       -0.00000,       -0.00000,       20.62000,        2.89000,        0.89000,        0.90000,       46.52000,       20.40000,        1.35000,        0.05000,0,       36.80000,0
